max_stretch,max_chord_size,note_density,left_hand_activity,avg_tempo,dynamic_range,poly_voice_count,octave_jump_frequency,thirds_frequency,polyrhythm_score,midi_filename
50.0,7,14.72943845717527,0.3345656192236599,120.0,0.0,1.0,0.5677966101694916,0.17982456140350878,0.05218617771509168,a-jag-je-t-aime-juliette-oxc7fd0zn8o.mid
39.0,9,4.776307363927428,0.329936988872503,120.0,0.0,1.0,0.38316008316008315,0.1758860549850944,0.011432134691332363,aaron-michael-piano-course-v8wvkk-1b2c.mid
45.0,7,15.924882629107982,0.3785377358490566,120.0,0.0,1.0,0.30040053404539385,0.21515151515151515,0.028,abel-frederic-lola-polka-slnjf0uiqrw.mid
69.0,10,10.911394951221965,0.4147771264240681,120.0,0.0,1.0,0.3597321634726391,0.21110601193207892,0.018467220683287166,abramowitsch-a-3-nocturnes-lkk-7l2ppw8.mid
48.0,7,13.096774193548388,0.3994252873563218,120.0,0.0,1.0,0.3844444444444444,0.17360114777618366,0.011843079200592153,abreu-zequinha-tico-tico-no-fubá-kyeufpjuwfc.mid
33.0,4,5.711447279295552,0.43263757115749524,120.0,0.0,1.0,0.1619283065512979,0.19488817891373802,0.07654320987654321,abt-franz-7-lieder-aus-dem-buche-der-liebe-op-39-k33a-r6ikea.mid
70.0,6,7.440734931660318,0.32811370754035174,120.0,0.0,1.0,0.3130311614730878,0.21686746987951808,0.026194690265486726,achron-joseph-2-pieces-op-56-snqknjnxsoe.mid
71.0,11,12.042813655854145,0.3082191780821918,120.0,0.0,1.0,0.41568627450980394,0.20911528150134048,0.01041103299080584,achron-joseph-symphonic-variations-and-sonata-op-39-rtrrqwo2hng.mid
64.0,7,10.975302382849279,0.3588850174216028,120.0,0.0,1.0,0.37112206436648304,0.20652173913043478,0.020579710144927536,ackerman-gabriel-j-ballade-no-1-op-5-koy5xwvk5c4.mid
40.0,7,8.833333333333334,0.3910806174957118,120.0,0.0,1.0,0.3594009983361065,0.20930232558139536,0.03820598006644518,adalid-marcial-del-24-romances-sans-paroles-fazuwhltgtm.mid
52.0,16,13.83877415056629,0.4347198151357597,120.0,0.0,1.0,0.4112903225806452,0.20950801547816472,0.01151808339092375,adalid-marcial-del-sonata-for-piano-four-hands-5vmrdbna2o4.mid
